
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-7.93734133e-01, -8.66655469e-01, 2.84398794e-02, 5.29127502e+00
-7.93734133e-01, -1.08665860e+00, 1.96614578e-01, 5.40740013e+00
-7.93734133e-01, 5.10978997e-01, -3.87050137e-02, 1.47858068e-01
-7.93734133e-01, -5.24015963e-01, 1.66666672e-01, 5.16272402e+00
-7.93734133e-01, 5.29395640e-01, 8.03444833e-02, 1.25014842e-01
-7.93734133e-01, -1.54235065e-01, 1.25000000e-01, 3.74372506e+00
-7.93734133e-01, 3.23441565e-01, 7.66204968e-02, 6.26738191e-01
-7.93734133e-01, 4.73737240e-01, 1.31618395e-01, 2.21192732e-01
-7.93734133e-01, 1.24032319e-01, -1.25000000e-01, 1.74843466e+00
-7.93734133e-01, 2.53227890e-01, 2.08333328e-01, 1.03057182e+00
-7.93734133e-01, 6.04204476e-01, 8.63057747e-02, 5.09925745e-02
-7.93734133e-01, -6.98288739e-01, -1.68733880e-01, 5.30527925e+00
-7.93734133e-01, -6.84595823e-01, -1.35717347e-01, 5.28224421e+00
-7.93734133e-01, -6.61907434e-01, -1.67467952e-01, 5.28866529e+00
-7.93734133e-01, -2.50394940e-02, 2.08333328e-01, 2.91297078e+00
-7.93734133e-01, -5.17746866e-01, -7.72957280e-02, 5.11360455e+00
-7.93734133e-01, -9.77028668e-01, -2.13541672e-01, 5.40205050e+00
-7.93734133e-01, -1.54235065e-01, -1.25000000e-01, 3.74568200e+00
-7.93734133e-01, -2.39479482e-01, -7.72957280e-02, 4.23025560e+00
-7.93734133e-01, -3.03306878e-01, 2.08333328e-01, 4.60552931e+00
-7.93734133e-01, -4.32502449e-01, 1.25000000e-01, 4.95758963e+00
-7.93734133e-01, 3.87879014e-02, -7.72957280e-02, 2.35240865e+00
-7.93734133e-01, 6.08078599e-01, -1.99808583e-01, 9.46700871e-02
-7.93734133e-01, -5.81574261e-01, 2.08333328e-01, 5.27637243e+00
-7.93734133e-01, -7.48130202e-01, -3.44337188e-02, 5.27912903e+00
-7.93734133e-01, -6.34563446e-01, 4.11049835e-02, 5.23014021e+00
-7.93734133e-01, -8.08908761e-01, 1.63862184e-01, 5.32610321e+00
-7.93734133e-01, -4.32502449e-01, -1.25000000e-01, 4.95829201e+00
-7.93734133e-01, -1.07967603e+00, -3.73014398e-02, 5.29912138e+00
-7.93734133e-01, 6.49987638e-01, -7.35897422e-02, 1.71301030e-02
-7.93734133e-01, 3.95127475e-01, 3.46645899e-02, 3.81687641e-01
-7.93734133e-01, 4.40502167e-01, -8.60532671e-02, 2.72113740e-01
-7.93734133e-01, -1.00891352e+00, 2.06730768e-01, 5.40232849e+00
-7.93734133e-01, 5.07800579e-01, -1.15180835e-01, 1.62111133e-01
-7.93734133e-01, -1.12016356e+00, 7.55079612e-02, 5.31123257e+00
-7.93734133e-01, 2.86354959e-01, -2.08333328e-01, 8.55519950e-01
-7.93734133e-01, 1.49705797e-01, -1.66666672e-01, 1.60641348e+00
-7.93734133e-01, 1.30657732e-01, 2.08333328e-01, 1.76238358e+00
-7.93734133e-01, 3.49296391e-01, -2.08333328e-01, 6.26345098e-01
-7.93734133e-01, 6.48621678e-01, -1.51779920e-01, 2.49495059e-02
-7.93734133e-01, -9.51425254e-01, -1.06268581e-02, 5.29263592e+00
-7.93734133e-01, -1.04825187e+00, 2.04727560e-01, 5.40974474e+00
-7.93734133e-01, -1.47609651e-01, 2.08333328e-01, 3.76756167e+00
-7.93734133e-01, -5.74809253e-01, 7.96361417e-02, 5.18880939e+00
-7.93734133e-01, 3.81611079e-01, 6.62231147e-02, 4.15179580e-01
-7.93734133e-01, -4.25877035e-01, 2.08333328e-01, 5.00429487e+00
-7.93734133e-01, -1.28561586e-01, -1.66666672e-01, 3.60408759e+00
-7.93734133e-01, -3.41403008e-01, -2.08333328e-01, 4.76056242e+00
-7.93734133e-01, 5.78200698e-01, -4.21284288e-02, 7.01169223e-02
