
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
1.72312095e-04, -4.10043269e-01, 1.00444993e-02, -1.02681761e+01
8.49586271e-04, -4.11340326e-01, 9.48266499e-03, -1.04770956e+01
-5.04467404e-04, -4.11413968e-01, 9.45076812e-03, -1.12773199e+01
-3.17499996e-03, -3.11262868e-02, 1.74173757e-01, 5.86085653e+00
-3.17499996e-03, -3.81265283e-02, 1.71141580e-01, 1.02887373e+01
-1.66546262e-03, -4.10602212e-01, 9.80238337e-03, -1.60687408e+01
-1.84900453e-03, -4.11931992e-01, 9.22638271e-03, -1.46243448e+01
-3.17499996e-03, -1.26463234e-01, 1.32878214e-01, 1.41546021e+01
-3.17499996e-03, -3.99979621e-01, 1.44036040e-02, 8.28276730e+00
3.83705324e-11, -4.03250128e-01, 1.29869692e-02, -2.84584069e+00
-3.17499996e-03, -2.62677282e-01, 7.38766044e-02, 1.14799032e+01
-3.17499996e-03, -4.05123591e-01, 1.21754743e-02, 4.58496809e+00
-1.46161602e-03, -4.09225613e-01, 1.03986599e-02, -1.52202330e+01
3.39787715e-04, -4.12185997e-01, 9.11636930e-03, -1.06441269e+01
7.13940244e-05, -4.08313096e-01, 1.07939206e-02, -7.96448183e+00
-3.17499996e-03, -3.43065858e-02, 1.72796205e-01, 8.93115330e+00
-6.74587209e-04, -4.12294388e-01, 9.06940922e-03, -1.14846601e+01
2.16209958e-03, -4.13047671e-01, 8.74312222e-03, -1.05726624e+01
1.05297437e-03, -2.63313744e-02, 1.76250696e-01, -1.47435503e+01
-1.51551608e-03, -4.07603949e-01, 1.11010997e-02, -1.16140947e+01
1.37394469e-03, -4.12302315e-01, 9.06598382e-03, -1.03984871e+01
3.83705324e-11, -4.01390404e-01, 1.37925157e-02, -7.27980793e-01
-1.79765666e-05, -4.06569272e-01, 1.15492679e-02, -6.05780458e+00
-1.63567078e-03, -4.04448658e-01, 1.24678174e-02, -7.30180979e+00
-2.62827496e-04, -4.05112594e-01, 1.21802390e-02, -4.63907051e+00
-1.58749998e-03, -4.06051546e-01, 1.17735229e-02, -8.48821259e+00
1.90728093e-11, -3.95011544e-01, 1.65555384e-02, 4.14613724e+00
1.85768276e-11, -3.98466676e-01, 1.50589412e-02, 9.04158294e-01
-1.05853681e-03, -2.63313744e-02, 1.76250696e-01, -2.74867535e+01
5.28239587e-04, -2.85572931e-02, 1.75286531e-01, -8.55253124e+00
-3.17499996e-03, -4.11089361e-01, 9.59137361e-03, -9.73503685e+00
1.27901951e-11, -3.61840017e-02, 1.71982989e-01, 3.02172947e+00
1.10332958e-11, -3.94863188e-02, 1.70552582e-01, 5.33833456e+00
3.83705220e-11, -3.34219597e-02, 1.73179388e-01, -1.18564725e+00
-1.10959576e-03, -4.13047671e-01, 8.74312222e-03, -1.23375893e+01
-2.16958509e-03, -4.13047671e-01, 8.74312222e-03, -1.43028784e+01
-8.89265175e-06, -4.13047671e-01, 8.74312222e-03, -1.11204500e+01
1.08991016e-03, -4.13047671e-01, 8.74312222e-03, -1.05899153e+01
-3.32605588e-04, -3.06610093e-02, 1.74375296e-01, -7.03030014e+00
0.00000000e+00, -4.25047696e-01, -1.20500000e-02, -2.21216321e+00
-2.15774213e-04, -4.24780846e-01, -1.20480675e-02, -2.21550846e+00
-3.98235774e-04, -4.25047696e-01, -1.20434174e-02, -2.21920967e+00
1.46577368e-04, -4.24712479e-01, -1.20491087e-02, -2.21706271e+00
3.98881850e-04, -4.25048113e-01, -1.20436475e-02, -2.22562551e+00
-1.47569942e-18, -4.24593061e-01, 1.20500000e-02, -1.87783012e+01
4.00584715e-04, -4.25047696e-01, 1.20433401e-02, -1.84607658e+01
0.00000000e+00, -4.25047696e-01, 1.20500000e-02, -1.87311058e+01
4.33287257e-03, -4.25047696e-01, 1.12440521e-02, -1.81534138e+01
3.95651022e-03, -4.25047696e-01, 1.13819391e-02, -1.79666920e+01
4.13452135e-03, -4.24627930e-01, 1.13184908e-02, -1.80644150e+01
9.33535304e-03, -4.24686432e-01, 7.61929667e-03, -1.17838335e+01
9.46079288e-03, -4.25047696e-01, 7.46296812e-03, -1.14729013e+01
9.20733064e-03, -4.25047696e-01, 7.77351670e-03, -1.21357803e+01
9.20748152e-03, -4.25047696e-01, -7.77333835e-03, -1.05105436e+00
9.46093816e-03, -4.25047696e-01, -7.46278465e-03, -1.23526812e+00
9.33550112e-03, -4.24687386e-01, -7.61911552e-03, -1.15841794e+00
3.95761477e-03, -4.25047696e-01, -1.13815544e-02, -2.54133368e+00
4.33399435e-03, -4.25047696e-01, -1.12436200e-02, -2.27223134e+00
4.16406710e-03, -4.24575269e-01, -1.13076540e-02, -2.44839978e+00
6.14001276e-03, -4.25047696e-01, 1.03683528e-02, -1.95459194e+01
5.79174655e-03, -4.25047696e-01, 1.05668427e-02, -1.94652538e+01
5.96670527e-03, -4.24687535e-01, 1.04690464e-02, -1.95200825e+01
5.79252141e-03, -4.25047696e-01, -1.05664181e-02, -4.80254680e-01
6.14077505e-03, -4.25047696e-01, -1.03679011e-02, -1.76966954e-02
5.96747361e-03, -4.24684346e-01, -1.04686078e-02, -1.34929895e-01
-1.19893784e-02, -4.25047696e-01, -1.20718835e-03, 1.99548492e+01
-1.20123522e-02, -4.24674302e-01, -9.51785187e-04, 2.04414177e+01
-1.20229013e-02, -4.25047696e-01, -8.07674602e-04, 2.00730934e+01
-4.33630170e-03, -4.25047696e-01, 1.12427305e-02, -2.69971523e+01
-4.11535427e-03, -4.24736649e-01, 1.13254739e-02, -2.68789272e+01
-3.95988999e-03, -4.25047696e-01, 1.13807637e-02, -2.67618084e+01
-1.20232105e-02, -4.25047696e-01, 8.03064031e-04, 2.00451412e+01
-1.20093860e-02, -4.24672872e-01, 9.88508342e-04, 2.01808128e+01
-1.19898394e-02, -4.25047696e-01, 1.20259973e-03, 1.95299969e+01
-9.46284365e-03, -4.25047696e-01, 7.46036833e-03, -6.38394976e+00
-9.35919024e-03, -4.24738586e-01, 7.58999726e-03, -6.42710876e+00
-9.20941122e-03, -4.25047696e-01, 7.77105242e-03, -7.58286142e+00
9.59252007e-03, -4.24630880e-01, -7.29287742e-03, -1.31574965e+00
-4.11111023e-03, -4.24736679e-01, -1.13270152e-02, -5.45081329e+00
-4.33206279e-03, -4.25047696e-01, -1.12443641e-02, -5.88453102e+00
-3.95558169e-03, -4.25047696e-01, -1.13822613e-02, -5.12640524e+00
1.19191725e-02, -4.24737662e-01, -1.77082652e-03, -2.50664163e+00
1.18823554e-02, -4.25047696e-01, -2.00303085e-03, -2.47737813e+00
1.19424164e-02, -4.25047696e-01, -1.60660886e-03, -2.63298702e+00
9.58270393e-03, -4.24630582e-01, 7.30577065e-03, -1.12094526e+01
1.14487112e-02, -4.24688041e-01, 3.75892571e-03, -6.88188553e+00
1.15096727e-02, -4.25047696e-01, 3.56790284e-03, -6.74110508e+00
1.13845784e-02, -4.25047696e-01, 3.94890737e-03, -7.11344910e+00
1.15094492e-02, -4.25047696e-01, -3.56862298e-03, -1.78139055e+00
1.14461733e-02, -4.24610376e-01, -3.76664614e-03, -1.72784698e+00
1.13843251e-02, -4.25047696e-01, -3.94963892e-03, -1.70513642e+00
9.70414281e-03, -4.25047696e-01, -7.14367675e-03, -1.35159683e+00
1.18823405e-02, -4.25047696e-01, 2.00311653e-03, -5.17975712e+00
1.19089074e-02, -4.24740702e-01, 1.83859351e-03, -5.00918722e+00
1.19424174e-02, -4.25047696e-01, 1.60660339e-03, -4.84186316e+00
-5.97113464e-03, -4.24684823e-01, 1.04665207e-02, -2.45934448e+01
-5.79609070e-03, -4.25047696e-01, 1.05644604e-02, -2.46792145e+01
-6.14452409e-03, -4.25047696e-01, 1.03656799e-02, -2.42463837e+01
-6.14038017e-03, -4.25047696e-01, -1.03681358e-02, -8.43814373e+00
-5.79186669e-03, -4.25047696e-01, -1.05667766e-02, -8.11499310e+00
-5.96695021e-03, -4.24684852e-01, -1.04689067e-02, -8.47161961e+00
9.70402639e-03, -4.25047696e-01, 7.14383461e-03, -1.08551702e+01
-9.26044956e-03, -4.24451053e-01, -7.71016022e-03, -6.47338852e-02
-9.46033839e-03, -4.25047696e-01, -7.46354461e-03, 5.22783160e-01
-9.20663401e-03, -4.25047696e-01, -7.77434139e-03, -6.72175705e-01
-1.19751757e-02, -4.24571067e-01, 1.34077296e-03, 1.97163639e+01
-1.15393829e-02, -4.24601376e-01, -3.47061199e-03, 1.66543980e+01
-1.16221607e-02, -4.25047696e-01, -3.18243401e-03, 1.69515800e+01
-1.15097677e-02, -4.25047696e-01, -3.56759550e-03, 1.59415283e+01
