unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30234,0.01472342,0.015540823,0.013028443,0.015077233,0.014017269
H1,30235,0.055334505,0.056459967,0.05255162,0.058035,0.053159848
H1,30236,-0.016610669,-0.01462296,-0.016039915,-0.0155681,-0.016906
H1,30237,-0.07822268,-0.077423975,-0.07975594,-0.083475456,-0.08049703
H1,30238,-0.054094747,-0.052798487,-0.054252464,-0.05509637,-0.05568511
H1,30239,0.027625173,0.028850824,0.028401956,0.025995292,0.02699253
H1,30240,0.046769038,0.046826765,0.04495351,0.041390076,0.04363098
H1,30241,-0.015431166,-0.014623426,-0.014339551,-0.017127119,-0.015980914
H1,30242,-0.06801968,-0.06685513,-0.070100084,-0.07205637,-0.06901335
H1,30243,-0.054085765,-0.054152105,-0.054598443,-0.05978913,-0.053765062
H1,30244,0.02816485,0.030203093,0.028689118,0.02626791,0.029697556
H1,30245,0.046077054,0.048933133,0.041919686,0.046893537,0.045394853
H1,30246,-0.013697863,-0.015191581,-0.014482498,-0.018376015,-0.014253728
H1,30247,-0.07230485,-0.07231565,-0.07146804,-0.07667616,-0.07143472
H1,30248,-0.05680296,-0.05479729,-0.057996098,-0.05557531,-0.056034766
H1,30249,0.029697143,0.02906929,0.026997104,0.027674649,0.028411005
H1,30250,0.04319395,0.042362675,0.043446265,0.043708894,0.041522563
H1,30251,-0.015099734,-0.013660356,-0.016972303,-0.016455183,-0.017107159
H1,30252,-0.07371853,-0.073209405,-0.07629974,-0.07345923,-0.07689464
H1,30253,-0.056727722,-0.05710066,-0.05586477,-0.054676928,-0.06016659
H1,30254,0.031376246,0.029347906,0.026733369,0.028400898,0.028617065
H1,30255,0.0433302,0.041555174,0.038153946,0.04148288,0.039595053
H1,30256,-0.015387148,-0.014338091,-0.01618801,-0.015559301,-0.018609673
H1,30257,-0.07466002,-0.0741912,-0.07329934,-0.07207814,-0.073401764
H1,30258,-0.055253446,-0.053138033,-0.057607956,-0.057318397,-0.057567507
H1,30259,0.02684201,0.028896526,0.026030667,0.02556479,0.025462087
H1,30260,0.0506406,0.051996794,0.052212205,0.051323958,0.052691236
H1,30261,-0.015277427,-0.013513344,-0.015659902,-0.016712733,-0.016124412
H1,30262,-0.087541096,-0.08703428,-0.08629186,-0.08473774,-0.08492769
H1,30263,-0.04229118,-0.04318756,-0.0425656,-0.041716084,-0.04175955
H1,30264,0.023223847,0.022461146,0.020831198,0.019841105,0.019166827
H1,30265,0.03255512,0.034134313,0.028232485,0.028725937,0.029567778
H1,30266,-0.008034766,-0.008007586,-0.009332798,-0.007160574,-0.008337185
H1,30267,-0.077650994,-0.07943469,-0.07998586,-0.07725492,-0.07908887
H1,30268,-0.058079407,-0.05811435,-0.06253835,-0.06147868,-0.060759958
H1,30269,0.034038294,0.032543615,0.031949848,0.034234963,0.03233361
H1,30270,0.052770603,0.05197842,0.050678544,0.05359076,0.049005978
H1,30271,-0.02115503,-0.021223038,-0.022574455,-0.022626564,-0.023850605
H1,30272,-0.059780583,-0.062055588,-0.060193986,-0.061243653,-0.060204536
H1,30273,-0.04808663,-0.050226152,-0.04677692,-0.04767564,-0.048091352
H1,30274,0.017751485,0.018527105,0.01889053,0.015375458,0.014307946
H1,30275,0.057496592,0.061870575,0.058534116,0.05575356,0.054422006
H1,30276,-0.015539035,-0.014939498,-0.012991019,-0.017287215,-0.014696501
H1,30277,-0.077052936,-0.07964423,-0.07616214,-0.08262976,-0.08108297
H1,30278,-0.052976996,-0.051862683,-0.051764898,-0.053560622,-0.05356984
H1,30279,0.030593917,0.031478107,0.03150258,0.030311093,0.029629603
H1,30280,0.050065532,0.049084485,0.04858335,0.046484992,0.04339549
H1,30281,-0.012532622,-0.012041956,-0.013073087,-0.014390677,-0.013451934
H1,30282,-0.070671655,-0.06782655,-0.06957497,-0.06939338,-0.07159656
H1,30283,-0.057075858,-0.05216097,-0.053873263,-0.0538742,-0.05499734
H1,30284,0.032120112,0.03453047,0.032815456,0.033416957,0.03181261
H1,30285,0.047397174,0.05161689,0.04720679,0.048203874,0.042632017
H1,30286,-0.014656365,-0.01126178,-0.013176613,-0.012829632,-0.016097423
H1,30287,-0.07046369,-0.06971045,-0.069991514,-0.06873138,-0.072267994
H1,30288,-0.05458036,-0.05177884,-0.054407388,-0.053162497,-0.056359183
H1,30289,0.03166011,0.032660805,0.031467907,0.032552294,0.029681787
H1,30290,0.047444165,0.047392897,0.045713753,0.04701735,0.04553493
H1,30291,-0.012208581,-0.012178842,-0.014658675,-0.0122489035,-0.0132960975
H1,30292,-0.075896785,-0.0712136,-0.07537004,-0.07326306,-0.073370904
H1,30293,-0.0587374,-0.054137494,-0.055511516,-0.054868788,-0.054407433
H1,30294,0.03200136,0.032405704,0.03000506,0.031064024,0.033146456
H1,30295,0.044115216,0.04644485,0.041070018,0.041026548,0.044361003
H1,30296,-0.013742082,-0.012078196,-0.01393456,-0.015216485,-0.012991771
H1,30297,-0.06926894,-0.072170034,-0.072819136,-0.07283133,-0.06976767
H1,30298,-0.055409424,-0.054109007,-0.056093432,-0.056957945,-0.05395715
H1,30299,0.029013135,0.028918505,0.028117415,0.025234759,0.027439438
H1,30300,0.05825595,0.053985257,0.055685528,0.052616,0.056606434
H1,30301,-0.014304817,-0.0132228825,-0.0153232645,-0.016928151,-0.012631422
H1,30302,-0.08577983,-0.089619435,-0.08736946,-0.0914115,-0.08679673
H1,30303,-0.0403008,-0.044567272,-0.042306036,-0.04426895,-0.040285677
H1,30304,0.02333644,0.024941266,0.020002335,0.022555605,0.024478734
H1,30305,0.03471087,0.035769463,0.0314679,0.03178005,0.035068393
H1,30306,-0.0041762814,-0.006473303,-0.0063685775,-0.005272813,-0.0059100986
H1,30307,-0.07864639,-0.07770305,-0.07640934,-0.07727035,-0.075799555
H1,30308,-0.05938526,-0.056097545,-0.060574435,-0.05927579,-0.0586629
H1,30309,0.033391684,0.032556,0.03177516,0.03369945,0.032440107
H1,30310,0.05031212,0.052405342,0.05320891,0.051926117,0.05358234
H1,30311,-0.020990655,-0.019061834,-0.023356184,-0.021687463,-0.020991936
H1,30312,-0.058377415,-0.060403913,-0.062662914,-0.06129226,-0.059583917
H1,30313,-0.04394473,-0.04740542,-0.045365006,-0.046117917,-0.046035364
