ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
31659,0.045561664,0.045193076,0.044634998,0.04534453,0.044985674
31660,0.07211609,0.073811606,0.06627551,0.07311412,0.073485784
31661,0.0005795732,-0.00054030865,-0.00017360225,0.0017207712,-0.0033600777
31662,-0.07323719,-0.07415059,-0.07555165,-0.07871668,-0.073065355
31663,-0.029570386,-0.0307713,-0.032702744,-0.030581221,-0.028968632
31664,0.036032632,0.035467133,0.038089573,0.03985834,0.032485753
31665,0.048129275,0.049317405,0.05242224,0.051237047,0.045249373
31666,0.0057896227,0.0069464743,0.008275479,0.008216478,0.009123467
31667,-0.07079606,-0.07033208,-0.071091115,-0.06765911,-0.068022564
31668,-0.04751664,-0.04584878,-0.044479247,-0.045955133,-0.05059789
31669,0.050719254,0.0504169,0.05355823,0.051517285,0.052356012
31670,0.070368186,0.07130842,0.0691995,0.0731502,0.07064542
31671,-0.0033749938,-0.0035743564,-0.00445728,-0.0042072386,-0.006499782
31672,-0.0434404,-0.047914267,-0.044009537,-0.04673277,-0.04461409
31673,-0.030304551,-0.032645315,-0.03126201,-0.031008571,-0.031755358
31674,0.034245044,0.03431301,0.034718364,0.035117447,0.033458307
31675,0.074828535,0.07888828,0.08095155,0.080995806,0.07643786
31676,0.0014894716,0.00046566222,0.0031275144,0.0022516325,0.0019738332
31677,-0.06690333,-0.07159819,-0.07261065,-0.073531255,-0.06862637
31678,-0.041836523,-0.042518836,-0.041240953,-0.04109239,-0.04305286
31679,0.046642296,0.04530704,0.047598913,0.047248237,0.04534836
31680,0.06558281,0.0641662,0.062512554,0.062840834,0.064151034
31681,0.0015436411,0.0011712462,-2.5302172e-05,0.001071021,-1.719594e-05
31682,-0.05719185,-0.056932777,-0.05498621,-0.05785564,-0.059452668
31683,-0.040419552,-0.040708315,-0.04038877,-0.043797325,-0.043572646
31684,0.045842487,0.048223726,0.04272606,0.048440807,0.045087717
31685,0.0613539,0.061838575,0.06287663,0.06556065,0.059704103
31686,0.0017716587,0.002458185,0.0012105033,0.001654014,-0.00017140806
31687,-0.059461422,-0.058698177,-0.06370898,-0.060135826,-0.061301574
31688,-0.04372555,-0.046184845,-0.04546293,-0.044818647,-0.0474834
31689,0.045572698,0.047366142,0.046885528,0.0476188,0.04428743
31690,0.06608536,0.060953915,0.06315486,0.06314142,0.06359557
31691,0.0017200466,0.00037512928,1.7885119e-05,0.0011200868,0.0011714175
31692,-0.06361986,-0.062041238,-0.05937949,-0.06101968,-0.06477219
31693,-0.039607186,-0.04641194,-0.04285259,-0.043416023,-0.04387558
31694,0.046172597,0.047357373,0.04563524,0.047113165,0.04768964
31695,0.057828218,0.06134586,0.06122943,0.06140144,0.060207218
31696,0.0025996715,0.00084270537,0.0017891601,0.0027794838,0.002066344
31697,-0.05785638,-0.06191124,-0.056688398,-0.05881899,-0.058106817
31698,-0.04234901,-0.04145132,-0.0434967,-0.042583346,-0.041977286
31699,0.044862274,0.043794796,0.044665128,0.043968394,0.044748716
31700,0.07371031,0.071368754,0.07605593,0.07437428,0.07381618
31701,0.0006823167,0.001354713,0.00048284233,0.0010246616,0.0016326401
31702,-0.07348423,-0.07826351,-0.076612316,-0.07888761,-0.07533693
31703,-0.0288219,-0.03063029,-0.031011775,-0.030924574,-0.03016299
31704,0.034960896,0.03892584,0.036740407,0.038976565,0.03790301
31705,0.045668915,0.051892906,0.049318597,0.05150543,0.051230013
31706,0.0054344535,0.0065091103,0.0075972006,0.008070618,0.007666476
31707,-0.07080498,-0.0681067,-0.067661285,-0.06575916,-0.06997309
31708,-0.049116973,-0.044409323,-0.046488345,-0.04518157,-0.04646904
31709,0.050271817,0.05116585,0.048215937,0.04936687,0.049640574
31710,0.067928925,0.07033472,0.07134709,0.07272759,0.06799808
31711,-0.004842952,-0.004418567,-0.004286751,-0.0040098727,-0.006026119
31712,-0.042818442,-0.043854117,-0.04935409,-0.0475391,-0.04681292
31713,-0.032011285,-0.03313929,-0.034525603,-0.034081742,-0.034009263
31714,0.03171418,0.03333059,0.034869045,0.03648615,0.03236884
31715,0.077815086,0.07665527,0.077687554,0.080807865,0.0761269
31716,0.0018950142,0.0006178245,0.00034158863,0.0011107326,-2.169609e-05
31717,-0.072159976,-0.07155074,-0.065845676,-0.07056376,-0.07120124
31718,-0.040049203,-0.041882917,-0.041366965,-0.040748067,-0.04352705
31719,0.04662639,0.04588347,0.045476586,0.046748213,0.044027127
31720,0.060468942,0.05992551,0.0668706,0.0626713,0.061166137
